"name" "district" "lat" "lon" "lead" "ideo" "sess"
"142" "Frank Evans" "CO-03" "38.7802715015122" "-107.237648122487" 0.594861200024 0.531672777895 93
"143" "Joseph Evins" "TN-04" "35.4504876960574" "-85.9600383444042" 0.453306877584 0.547975136585 93
"144" "Dante Fascell" "FL-15" "28.0412930895019" "-82.0828981749345" 0.610286975678 0.464545204378 93
"145" "Walter Fauntroy" "DC-00" "38.9047722023388" "-77.0162892496724" 0.495613793205 0.284346015126 93
"146" "Paul Findley" "IL-20" "na" "na" 0.765162615866 0.624800487165 93
"147" "Hamilton Fish" "NY-25" "43.3351178324671" "-77.671899494948" 0.343918797597 0.684589655734 93
"148" "Ovie Fisher" "TX-21" "30.0180587805976" "-98.9598897027204" 0.443958330266 0.91222798125 93
"149" "Daniel Flood" "PA-11" "40.885241152707" "-76.4519736983023" 0.701892087849 0.554245955634 93
"150" "Walter Flowers" "AL-07" "32.4441854440563" "-87.6252267844404" 0.00349939992207 0.666140125189 93
"151" "John Flynt" "GA-06" "34.0101878405485" "-84.3453514297219" 0.177761673492 0.597017533942 93
"152" "Thomas Foley" "WA-05" "47.5898097022513" "-117.878913043321" 0.415324169966 0.542367583072 93
"153" "William Ford" "MI-15" "na" "na" 0.619981084627 0.328391846715 93
"154" "Edwin Forsythe" "NJ-06" "40.4184382478908" "-74.1429340085239" 0.446565532634 0.734518025822 93
"155" "Lawrence Fountain" "NC-02" "35.4459849134148" "-79.2994227103033" 0.246570871783 0.566343359865 93
"156" "Donald Fraser" "MN-05" "44.9811310387142" "-93.2955047439837" 0.921119238788 0.188215338936 93
"157" "Peter Frelinghuysen" "NJ-05" "41.0574322184868" "-74.6260630072861" 0.484988157241 0.624691802058 93
"158" "William Frenzel" "MN-03" "44.9964211399291" "-93.529578194869" 0.578169822779 0.763829525321 93
"159" "Louis Frey" "FL-09" "28.1169164499269" "-81.1953835372735" 0.783404629908 0.782750695035 93
"160" "Harold Froehlich" "WI-08" "44.8344007149193" "-87.9343201054997" 0.695804929852 0.831549312715 93
"161" "Richard Fulton" "TN-05" "36.1769518514716" "-87.0698300722103" 0.757703274247 0.615877393055 93
"162" "Don Fuqua" "FL-02" "30.2808403180524" "-84.7318181931999" 0.5 0.734162610961 93
"163" "Joseph Gaydos" "PA-20" "na" "na" 0.00119627913527 0.511856424108 93
"164" "Thomas Gettys" "SC-05" "34.5385448554516" "-81.0195307815647" 0.00917900062528 0.586878218313 93
"165" "Robert Giaimo" "CT-03" "41.3802981486862" "-72.8785336637587" 0.173733638306 0.522581595588 93
"166" "Sam Gibbons" "FL-07" "28.7409488298301" "-81.2211500542084" 0.573600064896 0.469384411719 93
"167" "Ronald Ginn" "GA-01" "31.3162816396326" "-81.9282633024445" 0.00263374864328 0.699955844849 93
"168" "Barry Goldwater" "CA-27" "34.2792017394128" "-117.939863690202" 0.697540809679 0.787404080851 93
"169" "Henry González" "TX-20" "29.4750189561949" "-98.6221004333253" 0.564567199613 0.469624819836 93
"170" "George Goodling" "PA-19" "na" "na" 0.0405532974706 0.499916941434 93
"171" "Ella Grasso" "CT-06" "na" "na" 0.689833679339 0.4821545698 93
"172" "Kenneth Gray" "IL-24" "na" "na" 0.582139836284 0.505727878705 93
"173" "Edith Green" "OR-03" "45.3931378986761" "-122.204104793413" 0.479597285528 0.585287837195 93
"174" "William Green" "PA-03" "41.411859311681" "-80.0089638373863" 0.156009281512 0.307524655926 93
"175" "Martha Griffiths" "MI-17" "na" "na" 0.647421479416 0.496415897923 93
"176" "Harold Gross" "IA-03" "41.2039617857257" "-94.6373720493223" 0.27331177625 0.650785066758 93
"177" "James Grover" "NY-02" "40.6800236389899" "-73.2944147249182" 0.270977075568 0.666091944668 93
"178" "Charles Gubser" "CA-10" "37.5810839375158" "-121.061032131808" 0.397342747462 0.60004857065 93
"179" "Gilbert Gude" "MD-08" "39.4332895777988" "-77.2515182054757" 0.792290319716 0.574615353073 93
"180" "William Gunter" "FL-05" "29.3910261921198" "-81.7454134054242" 0.69254995651 0.785493827212 93
"181" "Tennyson Guyer" "OH-04" "40.7166434694547" "-83.4753177851304" 0.0271742562074 0.728286240838 93
"182" "James Haley" "FL-08" "28.1638846249896" "-80.6994907222798" 0.563038964151 0.724738602644 93
"183" "Lee Hamilton" "IN-09" "38.7875066634098" "-86.2069476704876" 0.41427876667 0.50629990038 93
"184" "John Hammerschmidt" "AR-03" "36.0058694209824" "-93.5992099570847" 0.495130403664 0.733278986411 93
"185" "James Hanley" "NY-32" "na" "na" 0.553255928362 0.54884153891 93
"186" "Richard Hanna" "CA-34" "34.0746773878557" "-118.227664004265" 0.0652287559582 0.544542831042 93
"187" "Robert Hanrahan" "IL-03" "41.6785009923445" "-87.8960968364775" 0.695723978252 0.732231808362 93
"188" "Julia Hansen" "WA-03" "46.2339900592936" "-122.249957719865" 0.282396809565 0.564175403419 93
"189" "Orval Hansen" "ID-02" "43.4685527191486" "-113.361625930155" 0.475324987316 0.73602408336 93
"190" "Michael Harrington" "MA-06" "42.6172038803734" "-70.8851795769478" 0.92596734816 0.215967763688 93
"191" "William Harsha" "OH-06" "39.7736104269374" "-81.5536414201528" 0.56151627287 0.609454102879 93
"192" "James Harvey" "MI-08" "42.6468591224834" "-83.9407284222608" 0.514927373735 0.619154503844 93
"193" "James Hastings" "NY-39" "na" "na" 0.774073093924 0.783690417684 93
"194" "Augustus Hawkins" "CA-21" "36.0817624915473" "-119.85125767329" 0.731464446745 0.132302633235 93
"195" "Wayne Hays" "OH-18" "na" "na" 0.314244364918 0.537020060829 93
"196" "Felix Hébert" "LA-01" "29.6616514958625" "-89.8892707956485" 0.649787171298 0.514895161059 93
"197" "Kenneth Hechler" "WV-04" "na" "na" 0.650926367917 0.376186744538 93
"198" "Margaret Heckler" "MA-10" "na" "na" 0.628361957799 0.600302782253 93
"199" "Henry Heinz" "PA-18" "40.1569658675652" "-80.0282180625337" 0.827221903573 0.731372339245 93
"200" "Henry Helstoski" "NJ-09" "40.8607622489088" "-74.0734634944281" 0.379227533765 0.234791369144 93
"201" "David Henderson" "NC-03" "35.4105616971317" "-76.6193868021255" 0.601794580057 0.713948050978 93
"202" "Floyd Hicks" "WA-06" "47.6531764908418" "-123.621960655726" 0.606765975495 0.519493935516 93
"203" "Elwood Hillis" "IN-05" "40.2539658773809" "-85.8612124712171" 0.586114479562 0.674854269518 93
"204" "Andrew Hinshaw" "CA-39" "33.9378841153335" "-117.840120891652" 0.000858093379295 0.779067192186 93
"205" "Lawrence Hogan" "MD-05" "38.4752375446401" "-76.7138347580228" 0.506257771433 0.643780347758 93
"206" "Chester Holifield" "CA-19" "37.2072564296723" "-121.585614549529" 0.671300151683 0.518021040236 93
"207" "Marjorie Holt" "MD-04" "38.9682579443125" "-76.7451664054675" 0.390265584353 0.799445100696 93
"208" "Elizabeth Holtzman" "NY-16" "40.9399911738655" "-73.7908802256159" 0.616669774066 0.122555104546 93
"209" "Frank Horton" "NY-34" "na" "na" 0.75281246884 0.703919116478 93
"210" "Craig Hosmer" "CA-32" "34.0896650920958" "-117.914473656261" 0.715824268728 0.826755215245 93
"211" "James Howard" "NJ-03" "39.8963427527507" "-74.4745350312331" 0.770919457916 0.428614586492 93
"212" "Robert Huber" "MI-18" "na" "na" 0.654330170823 0.940607925287 93
"213" "William Hudnut" "IN-11" "na" "na" 0.0668243599591 0.907150958762 93
"214" "William Hungate" "MO-09" "na" "na" 0.380895897245 0.535839295194 93
"215" "John Hunt" "NJ-01" "39.7917662235594" "-75.057794726189" 0.436027335117 0.769790444784 93
"216" "J. Hutchinson" "MI-04" "43.7351386863897" "-84.7505223278411" 0.367116582563 0.586122531452 93
"217" "Richard Ichord" "MO-08" "37.1896946903667" "-90.9296297321626" 0.88088081699 0.743792379615 93
"218" "John Jarman" "OK-05" "35.3071335158607" "-96.9937654230921" 0.0360221839822 0.5567697128 93
"219" "Albert Johnson" "PA-23" "na" "na" 0.00126399339213 0.704023165047 93
"220" "Harold Johnson" "CA-02" "40.1081502316474" "-123.468070447208" 0.555318645951 0.638471645532 93
"221" "James Johnson" "CO-04" "39.0621851249396" "-103.375217189299" 0.372346587783 0.632861258942 93
"222" "Ed Jones" "TN-07" "35.6365698364259" "-87.8322935499382" 0.64584006451 0.617009058139 93
"223" "James Jones" "OK-01" "36.2123989506434" "-95.7857382411025" 0.361014115568 0.558608452492 93
"224" "Robert Jones" "AL-05" "34.7538810867267" "-86.711613392702" 0.322709562054 0.563352607046 93
"225" "Walter Jones" "NC-01" "36.098764359679" "-77.5136945134982" 0.340658869999 0.709607235972 93
"226" "Barbara Jordan" "TX-18" "29.8892568604455" "-95.3765460748087" 0.311625319242 0.308603064399 93
"227" "Joseph Karth" "MN-04" "45.0019704203315" "-92.9808810385166" 0.468225931422 0.430865719846 93
"228" "Robert Kastenmeier" "WI-02" "42.9834167757917" "-89.7477842429426" 0.581803251308 0.372745980012 93
"229" "Abraham Kazen" "TX-23" "30.3792986859269" "-102.362910510223" 0.0561431094799 0.55174059166 93
"230" "William Keating" "OH-01" "39.3365016958851" "-84.3455416369746" 0.694518911171 0.667269716054 93
"231" "Jack Kemp" "NY-38" "na" "na" 0.604285271336 0.97294311551 93
"232" "William Ketchum" "CA-36" "33.7465925172201" "-115.720071676955" 0.731972941733 1 93
"233" "Carleton King" "NY-29" "na" "na" 0.00507601207348 0.662223813667 93
"234" "John Kluczynski" "IL-05" "41.9318483703309" "-87.8353379535856" 0.467178775758 0.536416578048 93
"235" "Edward Koch" "NY-18" "41.4114236241802" "-74.08036482196" 0.929685848876 0.172733694611 93
"236" "Dan Kuykendall" "TN-08" "35.8610850646332" "-89.1001947680257" 0.319840215195 0.65133238592 93
"237" "Peter Kyros" "ME-01" "43.8421393169134" "-69.9226208884375" 0.713619795472 0.513393075266 93
"238" "Robert Lagomarsino" "CA-13" "37.7785421099138" "-122.238681024175" 0.0751901039606 0.63159422826 93
"239" "Earl Landgrebe" "IN-02" "41.2436428738237" "-86.2328420260718" 0.600572602157 0.717587964987 93
"240" "Phillip Landrum" "GA-09" "34.5064682206211" "-83.6874981771865" 0.279472849246 0.528327543071 93
"241" "Delbert Latta" "OH-05" "41.1550050118988" "-84.0417420403083" 0.138930458537 0.649529207201 93
"242" "Robert Leggett" "CA-04" "37.9876977487961" "-119.936752380818" 0.503982190495 0.281441431966 93
